Project Number,HDI Rank (2018),HDI Value (2018),City/Town,Country,Partner Institution,Project Title,Project One-liner,Specific Discipline,Project Year,Volunteering Institution 1,Volunteering Institution 2,Volunteering Institution 3,Volunteering Institution 4,Volunteering Institution 5,Volunteering Institution 6
79,159,0.528,Dar Es Salaam,Tanzania,Aga Khan University,Postgraduate Training in Internal Medicine,Developing clinical teaching in internal medicine for post-graduate medical students at Aga Khan Hospital,Medicine,2017,"University of Alberta, Canada",,,,,
80,176,0.465,Monrovia,Liberia,University of Liberia & National Public Health Institute of Liberia,Public Health Education Needs Assessment,Identifying training needs in statistical research methods for future public health programs at University of Liberia & National Public Health Institute of Liberia,Public Health,2017,"Simon Fraser University, Canada",,,,,
81,147,0.579,Nairobi,Kenya,Aga Khan University,"T-L Net Course Content Workshop
""Teaching & Learning Course Content""",Training on designing teaching and learning courses that respond to the needs of students at Aga Khan University,,2017,Simon Fraser University,,,,,
82,147,0.579,Nairobi,Kenya,Kabarak University,MicroResearch Training Workshop,Enhancing medical research capacity focusing on maternal and infant health through MicroResearch Training workshops at Kabarak University.,Medicine,2017,"Dalhousie University, Canada","Dalhousie University, Canada",,,,
83,147,0.579,Bharatpur,Nepal,Chitwan Medical College,MicroResearch Training Workshop,Building research capacity with multi-disciplinary teams through MicroResearch workshops at Chitwan Medical College.,Medicine,2017,"Dalhousie University, Canada","Dalhousie University, Canada",,,,
84,123,0.670,Georgetown,Guyana  ,Georgetown Public Hospital Cooperation,Research Training for Family Medicine Residents,Training to develop family medicine research skills for medical residents at Georgetown Public Hospital,Medicine,2017,"University of Ottawa, Canada","Northern Ontario School of Medicine, Canada",,,,
85,"V: 118
C: 146","V: 0.693
C: 0.581","Hanoi, Vietnam
Phnom Penh, Cambodia","Vietnam 
Cambodia",Vietnam National University - University of Social Sciences & Humanities / Royal University of Phnom Penh,Research Training for Social Work & Development Studies ,Training in research for social work and development studies at Vietnam National University-University of Social Sciences and Humanities-Hanoi. Funding by Djavad Mowafaghian Foundation.,Social Work,2017,"University of Calgary, Canada",,,,,
86,63,0.799,Novi Sad,Serbia,University of Novi Sad,Natural Resource Conservation,Training to develop capacity in natural resource management and ecotourism for regional economic development at the University of Novi Sad. Funding by Djavad Mowafaghian Foundation.,Geography,2018,"University of Manitoba, Canada",,,,,
87,134,0.617,Mbarara,Uganda,Mbarara University of Science & Technology,MicroResearch Training Workshop,Building medical research capacity focusing on maternal and infant health  through MicroResearch Training workshops at the Mbarara University of Science and Technology.,Medicine,2018,"Dalhousie University, Canada",,,,,
88,142,0.596,"Hohoe, Volta Region",Ghana,University of Health and Allied Sciences,Graduate Programs in Public Health,Building capacity to deliver graduate programs in Public Health at the University of Health and Allied Sciences,Public Health,2017,"University of Alberta, Canada",,,,,
89,173,0.470,Bahir Dar,Ethiopia,Bahir Dar University - School of Law,PhD in Law Program,Providing co teaching and curriculum development for newly established PhD in Law program at Bahir Dar University Law School,Law,2017,"Western University, Canada","Brock University, Canada","Seneca College, Canada",,,
90,172,0.485,Lilongwe,Malawi,Kamuzu College of Nursing,Research & Academic Writing Training,Workshops and one-to-one mentoring developing research and academic writing capacity for faculty at Kamuzu College of Nursing. Funding by Djavad Mowafaghian Foundation. ,Nursing,2018,"University of Saskatchewan, Canada","University of Saskatchewan, Canada",,,,
91,147,0.579,Nairobi,Kenya,University of Nairobi,Research Training in Virology,"Providing training on basic virology techniques and biosafety practices to junior faculty members at the Institute for Tropical and Infectious Diseases, University of Nairobi",Microbiology,2017,"University of Manitoba, Canada",,,,,
92,147,0.579,Kabarak,Kenya,Kabarak University,MicroResearch Training Workshops,Enhancing medical research capacity focusing on maternal and infant health at Kabarak University,Medicine,2018,"Dalhousie University, Canada","Dalhousie University, Canada",,,,
93,147,0.579,Lalitpur,Nepal,Patan Academy of Health Sciences ,Curriculum Development and Co-teaching - School of Public Health,Assisting in the development and delivery of curriculum in the newly established School of Public Health at PAHS,Public Health,2018,"University of California (Davis), USA","University of Victoria, Canada",,,,
94,129,0.647,Lakkidi,India,Kerala Veterinary and Animal Sciences University,Veterinary Training,"Providing training and mentorship on One Health concepts, curriculum development, research ethics and integrity, and community development activities at Kerala Veterinary and Animal Sciences University. ",Veterinary Science,2018,"University of Calgary, Canada","University of Calgary, Canada",,,,
95,147,0.579,,Kenya,Kenyatta University,"Education for Sustainable Development, Research Training",Developing course curriculum and offering professional development workshops in the area of applied research. ,,2017,"University of Saskatchewan, Canada","University of Saskatchewan, Canada",,,,
96,159,0.528,,Tanzania,Kilimanjaro Christian Medical University College,Surgical Training for Advanced Cancer,Providing training at Kilimanjaro Christian Medical University College for surgical treatment of advanced cancers affecting women.,Medicine,2018,Queens University,University of Saskatchewan,University of Ottawa,University of Calgary,University of Calgary,University of Calgary
98,168,0.507,Dongola,Sudan,University of Dongola,Enhancing Research Capacity Among Emerging Scholars,Building the research skills capacity of the faculty with a particular emphasis on immigration and refugee studies. ,Migration Studies,2018,"University of Calgary, Canada",,,,,
99,157,0.536,Kigali,Rwanda,University Teaching Hospital of Kigali (CHUK),MicroResearch Training Workshops,Building medical research capacity focusing on maternal and infant health through MicroResearch Training workshops at the University Teaching Hospital Kigali,Medicine,2018,"Dalhousie University, Canada","Universite de Montreal, Canada","Hopital de Sacre-Coeur de Montreal, Canada",,,
100,147,0.579,Bharatpur,Nepal,Chitwan Medical College,MicroReseach Training Workshops,Building medical research capacity focusing on maternal and infant health through MicroResearch Training workshops at the Chitwan Medical College,Medicine,2018,"Dalhousie University, Canada","Dalhousie University, Canada",,,,
101,142,0.596,Accra,Ghana,University of Ghana,Capacity Building of Social Work Educators and Social Service Practitioners,Building curriculum and providing training for social work practitioners working with people with intellectual disabilities. Funding by R. Howard Webster Foundation.,Social Work,2018,"University of Manitoba, Canada","University of Manitoba, Canada",,,,
102,166,0.514,,Senegal,African Institute for Mathematical Sciences,Building an Institutional Environmental Policy,Developing an institution-wide environmental policy and implementation strategy including a staff training plan for the African Institute of Mathematical Sciences ,,2019,University of Calgary,,,,,
103,134,0.617,Mbarara,Uganda,University of Saint Joseph Mbarara,Strategic Planning at a New University,"Reviewing and updating the five-year strategic plan for the University of Saint Joseph Mbarara, a new university in Western Uganda",,2018,"Carleton University, Canada",,,,,
104,147,0.579,,Kenya,Kabarak University,MicroResearch Training Workshops,Building medical research capacity focusing on maternal and infant health  through MicroResearch Training workshops at Kabarak University.,Medicine,2019,Dalhousie University,,,,,
105,147,0.579,Nairobi,Kenya,Nairobi Hospital,MicroResearch Training Workshops,Building medical research capacity focusing on maternal and infant health  through MicroResearch Training workshops at Nairobi Hospital.,Medicine,2018,"Dalhousie University, Canada","Dalhousie University, Canada",,,,
106,79,0.761,Acre,Brazil ,Federal University of Acre,Qualitative Health Research: Enhancing Researcher Qualifications,Building curriculum and providing training in qualitative research for the development of a master's program in Health Research. ,Public Health,2018,"University of Toronto, Canada","University of Toronto, Canada",,,,
107,134,0.617,,Uganda,Mbarara University of Science & Technology,MicroResearch Training Workshops,Building medical research capacity focusing on maternal and infant health  through MicroResearch Training workshops at Mbarara University of Science and Technology.,Medicine,2018,Dalhousie University,Dalhousie University,,,,
109,173,0.470,,Ethiopia,Injibara University,Statistics Training for Research,Statistical knowledge for building the research capacity and productivity of Injibara University,Statistics,2019,Dalhousie University,,,,,
110,79,0.761,Medellin,Colombia,Universidad de Antioquia,Research Training in Health Systems,Strengthening university health research collaborations with Indigenous organizations of Cauca at the Universidad de Antioquia,,2019,"University of Manitoba, Canada",,,,,
111,134,0.617,Kampala,Uganda,Kyambogo University,Building capacity in literary and visual arts scholarship in Uganda,"Providing workshop instruction and mentorship for Ugandan artists and scholarly writers, particularly in artistic research at Kyambogo University",Fine Arts,2019,MacEwan University,Concordia University,,,,
112,173,0.470,Adigrat,Ethiopia,Adigrat University,Using Evidence Based Medicine to Inform Policy and Practice Workshop,Providing intensive workshops targeted to faculty and hospital staff to improve the research output of the College of Medicine at Adigrat Unviersity,Medicine,2019,"University of Saskatchewan, Canada","University of Saskatchewan, Canada",,,,
113,147,0.579,Nairobi,Kenya,Aga Khan University,Development of an MSc in Population Health Science,"Working with the faculty to develop curriculum, content and an implimentation strategy for the new MSc in Population Health Science at Aga Khan University",Medicine,2019,"Brock University, Canada",,,,,
114,157,0.536,Kigali,Rwanda,University of Global Health Equity,Enhancing Teaching and Learning in the Medical Education program at the University of Global Health Equity,Working with the medical faculty to develop the curriculum and content for a master's degree in Medical Education at the University of Global Health Equity,,2019,"Brock University, Canada",,,,,
115,147,0.579,Kabarak,Kenya,Kabarak University,MicroResearch Training Workshops,Building medical research capacity focusing on maternal and infant health  through MicroResearch Training workshops at Kabarak University,Medicine,2019,"Dalhousie University, Canada",,,,,
116,134,0.617,Kampala,Uganda,Mildmay Health Centre,MicroResearch Training Workshops,Building medical research capacity focusing on maternal and infant health  through MicroResearch training workshops at Mildmay Health Centre,Medicine,2019,"Dalhousie University, Canada","Dalhousie University, Canada",,,,
118,157,0.536,"Kigal
and
Butaro",Rwanda,University of Global Health Equity,Needs Assessment for e-Learning,Working with the faculty and staff to establish the needs and opportunities for online and blended delivery program at the University of Global Health Equity,Medicine,2019,"University of Manitoba, Canada",,,,,
119,129,0.647,Lucknow,India,King George's Medical University,Enhancing Pediatric Intensive Care,Developing and implementing paediatric intensive care protocols and training programs at King George's Medical University,Medicine,2019,"University of Manitoba, Canada","University of Manitoba, Canada",,,,
121,157,0.536,"Kigal
and
Butaro",Rwanda,University of Global Health Equity,Development of a Master's Degree in Medical Education,Developing a master’s degree in Medical Education program at the University of Global Health Equity,Medicine,2019,"University of Alberta, Canada",,,,,
122,113,0.705,Durban,South Africa,Mangosuthu University of Technology,Academic Writing Training,Developing faculty members' academic teaching skills to enhance teaching and research capacity at the Mangosuthu University of Technology,,2019,"Carleton University, Canada",Carleton University,Carleton University,,,
